longitude,latitude,altitude,ground_speed
72.854827,20.301838,0,0
72.854827,20.301838,0,0
72.854827,20.301838,0,0
72.854258,20.301467,0,2.5
72.852013,20.303136,0,3.055556
72.851938,20.303058,0,4.166667
72.850684,20.301642,0,3.055556
72.849098,20.299831,0,9.722222
72.848658,20.299113,0,9.166667
72.848738,20.298158,0,10.833333
72.848844,20.2972,0,0
72.848978,20.296242,0,11.111111
72.849458,20.292216,0,10.555556
72.849573,20.291253,0,10.277778
72.850302,20.288262,0,2.777778
72.851458,20.285453,0,2.5
72.851502,20.285269,0,4.166667
72.851609,20.285207,0,4.722222
72.854173,20.285507,0,0
72.854173,20.285507,0,0
72.855133,20.285453,0,10
72.855964,20.284867,0,11.388889
72.859307,20.282227,0,11.111111
72.863516,20.279291,0,10
72.863516,20.279291,0,10
72.86412,20.279051,0,10.555556
72.865173,20.279078,0,11.388889
72.867982,20.279247,0,0
72.868227,20.279269,0,2.222222
72.868569,20.2793,0,4.444444
72.869142,20.279473,0,7.5
72.869849,20.279904,0,9.722222
72.873,20.281909,0,2.777778
72.8734,20.281789,0,5
72.873956,20.28144,0,6.944444
72.87468,20.281113,0,9.444444
72.8766,20.280407,0,11.111111
72.880591,20.278924,0,0
72.881556,20.278544,0,9.444444
72.882018,20.278362,0,5
72.885347,20.276811,0,2.222222
72.885391,20.276658,0,4.166667
72.885222,20.27638,0,4.722222
72.884147,20.274069,0,10.555556
72.883924,20.273564,0,3.611111
72.884004,20.273469,0,4.444444
72.885378,20.272904,0,0
72.885698,20.272691,0,1.944444
72.886596,20.272053,0,3.055556
72.886947,20.272009,0,3.611111
72.887276,20.272511,0,8.333333
72.889693,20.276282,0,0
72.889693,20.276282,0,13.333333
72.890502,20.277238,0,13.055556
72.891298,20.27814,0,13.055556
72.893707,20.280951,0,13.055556
72.89708,20.284893,0,14.166667
72.899404,20.287627,0,12.222222
72.900124,20.288591,0,13.611111
72.900458,20.28974,0,13.055556
72.900427,20.290909,0,12.777778
72.900222,20.294482,0,0
72.900222,20.294482,0,12.777778
72.900187,20.295653,0,13.055556
72.90036,20.300404,0,13.333333
72.900582,20.302824,0,13.333333
72.901062,20.30766,0,13.333333
72.901809,20.312558,0,13.333333
72.902373,20.316182,0,0
72.902564,20.317527,0,15.277778
72.902764,20.318916,0,15.555556
72.903573,20.323811,0,13.888889
72.904436,20.328642,0,13.611111
72.905449,20.333424,0,13.055556
72.90568,20.335784,0,11.944444
72.906196,20.337893,0,0
72.906973,20.338789,0,12.777778
72.907813,20.339578,0,12.222222
72.910369,20.343302,0,13.333333
72.908716,20.347942,0,13.333333
72.908409,20.349053,0,12.222222
72.908409,20.350207,0,13.055556
72.908751,20.351327,0,13.333333
72.910262,20.353204,0,13.611111
