longitude,latitude,altitude,ground_speed
72.960276,20.94652,0,11.944444
72.959373,20.947184,0,11.666667
72.958969,20.948107,0,12.5
72.959627,20.950509,0,14.722222
72.960791,20.954509,0,13.888889
72.961524,20.956869,0,0
72.961884,20.958007,0,13.055556
72.962867,20.962689,0,13.333333
72.963249,20.9663,0,11.666667
72.964058,20.97094,0,13.333333
72.96476,20.975316,0,12.222222
72.965209,20.977656,0,0
72.965453,20.978816,0,12.777778
72.965876,20.981067,0,12.5
72.966849,20.985684,0,12.777778
72.967889,20.990324,0,13.333333
72.968973,20.994296,0,14.722222
72.969911,20.997553,0,11.944444
72.970347,20.998553,0,0
72.970916,20.999602,0,12.222222
72.971396,21.000464,0,7.777778
72.971529,21.000856,0,1.944444
72.971444,21.001349,0,0
72.971444,21.001349,0,0
72.97188,21.001427,0,1.944444
72.97204,21.001551,0,2.777778
72.972831,21.003349,0,11.388889
72.973129,21.004447,0,12.5
72.973267,21.007871,0,12.5
72.973062,21.01246,0,12.5
72.972831,21.016982,0,12.5
72.972031,21.020327,0,0
72.972009,21.021504,0,12.777778
72.971382,21.026193,0,13.611111
72.97036,21.031084,0,13.888889
72.969942,21.032216,0,12.777778
72.969618,21.033376,0,13.611111
72.969809,21.034629,0,14.166667
72.970498,21.035633,0,12.5
72.974351,21.03868,0,13.333333
72.974969,21.039733,0,0
72.974969,21.039733,0,13.055556
72.975462,21.040844,0,13.333333
72.975969,21.041962,0,13.333333
72.976698,21.047022,0,13.611111
72.97756,21.052278,0,14.722222
72.97756,21.054958,0,14.722222
72.978529,21.058811,0,14.444444
72.979591,21.06268,0,0
72.980004,21.063924,0,14.166667
72.980409,21.065136,0,14.166667
72.980253,21.070149,0,14.166667
72.979653,21.075224,0,14.166667
72.978827,21.078956,0,15.277778
72.978418,21.082742,0,13.055556
72.978049,21.085284,0,0
72.977876,21.086571,0,14.166667
72.977698,21.087811,0,13.611111
72.977569,21.089084,0,14.444444
72.977133,21.092856,0,13.333333
72.976991,21.094093,0,13.611111
72.976396,21.099167,0,14.444444
72.976236,21.100453,0,13.888889
72.975769,21.105429,0,13.888889
72.975907,21.10666,0,12.777778
72.976036,21.107876,0,0
72.976173,21.109142,0,13.888889
72.976564,21.114236,0,14.722222
72.975791,21.11664,0,12.777778
72.973853,21.121329,0,13.888889
72.97284,21.123756,0,14.444444
72.971009,21.128551,0,13.888889
72.97048,21.12974,0,0
72.969969,21.130927,0,14.166667
72.968307,21.135782,0,14.166667
72.966591,21.140593,0,14.166667
72.965316,21.14282,0,13.611111
72.965133,21.144064,0,13.611111
72.964751,21.147782,0,13.888889
72.964364,21.151524,0,0
72.964227,21.152793,0,13.888889
72.96396,21.155287,0,13.333333
72.962213,21.160211,0,14.722222
72.961236,21.162551,0,12.777778
72.961724,21.165909,0,13.611111
72.962187,21.168347,0,14.444444
72.962653,21.170842,0,13.611111
72.962889,21.17208,0,14.166667
72.963098,21.173389,0,0
72.963187,21.174727,0,14.444444
72.963267,21.175987,0,13.055556
72.96396,21.180784,0,13.333333
72.965133,21.185609,0,14.722222
72.966391,21.190758,0,13.888889
72.966262,21.192071,0,15
72.965622,21.195836,0,0
72.965822,21.197113,0,14.166667
72.966578,21.202269,0,14.444444
72.967307,21.207373,0,14.166667
72.967893,21.212458,0,14.444444
72.96836,21.215024,0,14.166667
72.968436,21.218829,0,0
72.968444,21.220113,0,13.888889
72.968489,21.225238,0,13.888889
72.968476,21.230327,0,13.888889
72.968476,21.231618,0,14.166667
72.96856,21.23678,0,13.888889
72.968551,21.241856,0,0
72.968551,21.241856,0,13.888889
72.968529,21.243127,0,13.888889
72.968027,21.246833,0,13.888889
72.966964,21.249131,0,13.611111
72.964822,21.253764,0,13.888889
72.962684,21.258409,0,16.111111
72.961596,21.260931,0,14.166667
72.960533,21.263289,0,0
72.96,21.264464,0,13.888889
72.957884,21.269089,0,13.611111
72.957373,21.270249,0,13.888889
72.955244,21.273802,0,14.444444
72.953627,21.275758,0,13.888889
72.952827,21.27678,0,13.888889
72.95096,21.281391,0,13.611111
72.951102,21.283902,0,0
72.951173,21.285164,0,13.888889
72.951498,21.290389,0,13.611111
72.952004,21.292947,0,14.722222
72.953089,21.298096,0,13.888889
72.953551,21.300613,0,13.888889
72.953796,21.302329,0,0
72.953796,21.302329,0,1.944444
72.954093,21.303578,0,6.388889
72.954956,21.307413,0,0
72.954956,21.307413,0,12.777778
72.955178,21.308582,0,13.055556
72.955658,21.309693,0,12.5
72.956458,21.310531,0,11.666667
72.959276,21.312942,0,13.888889
72.963151,21.316227,0,13.611111
72.963662,21.317396,0,13.888889
72.963822,21.318618,0,13.611111
72.963547,21.322331,0,12.777778
72.963431,21.323411,0,11.111111
72.963449,21.325667,0,0
72.963387,21.326862,0,13.055556
72.963196,21.328096,0,13.888889
72.962502,21.330553,0,13.611111
72.961164,21.335176,0,12.777778
72.959733,21.339887,0,13.333333
72.959093,21.342258,0,13.333333
72.958662,21.345878,0,13.333333
72.958818,21.347122,0,0
72.95896,21.348378,0,13.888889
72.959267,21.350873,0,13.888889
72.959724,21.354627,0,13.611111
72.959747,21.35588,0,13.611111
72.959871,21.36016,0,10.555556
72.959662,21.362453,0,12.777778
72.959138,21.366113,0,0
72.958947,21.367342,0,13.611111
72.958533,21.369818,0,13.611111
72.957671,21.374713,0,13.888889
72.957618,21.375978,0,13.611111
72.957467,21.380942,0,13.888889
72.957529,21.382222,0,13.888889
72.958236,21.384727,0,14.166667
72.959076,21.387291,0,15.277778
72.959524,21.388651,0,0
72.959938,21.389922,0,14.166667
72.961342,21.394502,0,13.333333
72.962089,21.396818,0,13.611111
72.96364,21.401718,0,14.166667
72.96412,21.405536,0,14.166667
72.9648,21.410624,0,0
72.9648,21.410624,0,13.888889
72.964964,21.411896,0,13.888889
72.965311,21.414436,0,13.888889
72.965987,21.419482,0,14.166667
72.966636,21.424373,0,13.333333
72.966698,21.425513,0,11.388889
72.967329,21.430318,0,13.888889
72.968138,21.432747,0,0
72.968138,21.432747,0,13.888889
72.968849,21.433842,0,14.166667
72.972178,21.437793,0,13.611111
72.97548,21.441742,0,13.888889
72.978804,21.445724,0,13.888889
72.981347,21.448731,0,14.166667
72.98304,21.450767,0,0
72.983889,21.451798,0,14.444444
72.984764,21.452842,0,14.722222
72.987489,21.456107,0,13.888889
72.990556,21.459889,0,13.055556
72.993684,21.46368,0,13.333333
72.994498,21.464647,0,13.333333
72.997422,21.468833,0,0
72.997422,21.468833,0,14.166667
72.997689,21.470076,0,13.888889
72.997862,21.471298,0,12.777778
72.99852,21.476053,0,13.333333
72.998871,21.478513,0,13.611111
72.999467,21.483424,0,13.611111
73.000076,21.488256,0,13.055556
73.000373,21.490636,0,0
73.00052,21.491831,0,12.777778
73.001129,21.4966,0,13.333333
73.001769,21.5013,0,13.055556
73.001876,21.502493,0,12.777778
73.002449,21.507129,0,12.777778
73.003,21.511598,0,0
73.003,21.511598,0,12.777778
73.003129,21.512711,0,11.944444
73.003653,21.517156,0,11.944444
73.003778,21.518249,0,11.944444
73.004267,21.522553,0,12.5
73.004769,21.52702,0,11.944444
73.005289,21.531402,0,0
73.005289,21.531402,0,12.222222
