longitude,latitude,altitude,ground_speed
72.990751,21.546236,0,0
72.990751,21.546236,0,0
72.990751,21.546236,0,0
72.990751,21.546236,0,0
72.990609,21.546447,0,0
72.990609,21.546447,0,0
72.990609,21.546447,0,0
72.985609,21.542678,0,10.833333
72.984542,21.538538,0,4.166667
72.984369,21.5377,0,0
72.984693,21.537589,0,4.444444
72.985138,21.5375,0,4.166667
72.985533,21.537333,0,3.888889
72.985444,21.537042,0,3.611111
72.985329,21.536753,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
72.98548,21.53652,0,0
