longitude,latitude,ground_speed
72.9142,19.77356,0
72.9142,19.77356,0
72.915658,19.757389,11.111111
72.916116,19.753013,13.055556
72.916382,19.748847,10.555556
72.916413,19.74524,13.611111
72.916658,19.741131,13.055556
72.916947,19.738793,0
72.917244,19.737749,11.944444
72.920396,19.733938,12.777778
72.924111,19.730576,14.166667
72.927698,19.727396,10.833333
72.930498,19.723758,0
72.930498,19.723758,6.944444
72.930853,19.723296,6.388889
72.9326,19.721362,11.388889
72.93532,19.717996,10.833333
72.93544,19.716909,13.055556
72.935076,19.7157,13.333333
72.934302,19.71478,12.777778
72.930489,19.711829,11.111111
72.929693,19.711189,0
72.928862,19.710511,12.222222
72.926964,19.709144,12.222222
72.925827,19.708804,12.5
72.922262,19.708036,13.055556
72.917444,19.706689,12.777778
72.912667,19.705978,12.777778
72.91152,19.705564,12.222222
72.910658,19.704853,11.944444
72.910093,19.703907,0
72.910093,19.703907,12.222222
72.909898,19.702751,13.055556
72.909689,19.697958,13.055556
72.909689,19.695549,13.333333
72.910178,19.694436,13.611111
72.910644,19.690902,13.611111
72.909218,19.686322,12.777778
72.908996,19.682836,0
72.908911,19.681687,12.777778
72.908591,19.680536,13.333333
72.907942,19.679498,12.777778
72.906138,19.676498,12.5
72.906098,19.672349,10.277778
72.906218,19.668144,12.222222
72.906302,19.664082,0
72.906302,19.664082,9.444444
72.90632,19.663222,9.722222
72.906511,19.65884,12.222222
72.906649,19.653909,13.055556
72.906929,19.652762,12.777778
72.907622,19.651793,12.777778
72.90844,19.650929,12.5
72.911729,19.64746,13.333333
72.913413,19.645664,0
72.914169,19.644898,11.388889
72.914862,19.644082,11.666667
72.915329,19.643038,13.333333
72.915444,19.641773,14.722222
72.915298,19.636664,14.444444
72.915169,19.631398,13.055556
72.914991,19.630293,11.666667
72.914458,19.629298,12.777778
72.912093,19.626636,12.777778
72.911307,19.625756,0
72.910516,19.624884,12.777778
72.910516,19.624884,12.777778
72.910156,19.623822,11.666667
72.910218,19.62284,10.277778
72.912667,19.618844,13.611111
72.914969,19.614771,11.388889
72.914991,19.612442,12.222222
72.914938,19.608142,0
72.914938,19.608142,10
72.914947,19.607169,11.388889
72.914147,19.603082,9.722222
72.913107,19.600778,9.166667
72.912996,19.599916,9.166667
72.913178,19.599107,9.166667
72.913604,19.598338,9.444444
72.914253,19.596878,6.666667
72.913996,19.595873,4.166667
72.913804,19.59548,5.277778
72.913338,19.594449,0
72.913116,19.593833,6.944444
72.912818,19.591427,10.277778
72.913138,19.590469,11.666667
72.914107,19.588062,16.388889
72.9144,19.586624,16.111111
72.915124,19.582578,14.722222
72.91664,19.577596,14.444444
72.917169,19.576378,14.166667
72.917222,19.575149,13.333333
72.916907,19.573998,0
72.916907,19.573998,12.777778
72.916582,19.572916,11.944444
72.915329,19.568651,11.944444
72.914076,19.564351,11.944444
72.913871,19.559842,13.055556
72.913809,19.55726,15
72.913756,19.553558,0
72.913756,19.552456,11.944444
72.91472,19.548244,12.5
72.916031,19.543447,12.222222
72.916933,19.540129,12.222222
