longitude,latitude,altitude,ground_speed
72.985267,21.536444,0,0
72.985351,21.536824,0,1.944444
72.985476,21.537293,0,2.5
72.985422,21.537487,0,2.777778
72.985169,21.537553,0,3.055556
72.984458,21.537671,0,2.777778
72.984382,21.53794,0,4.166667
72.984489,21.538384,0,5.277778
72.984978,21.54044,0,5.833333
72.985071,21.540551,0,5
72.985596,21.540771,0,0
72.985596,21.540771,0,6.666667
72.986236,21.540962,0,6.944444
72.990427,21.542573,0,8.055556
72.992013,21.542718,0,7.777778
72.994796,21.543658,0,6.666667
72.994951,21.543756,0,6.111111
72.994951,21.543756,0,6.111111
72.995031,21.543971,0,6.666667
72.995027,21.544627,0,6.944444
72.995027,21.544627,0,6.944444
72.995124,21.5449,0,4.722222
72.995262,21.54496,0,4.166667
72.996413,21.544991,0,0
72.997062,21.545162,0,6.944444
72.997756,21.545398,0,7.5
72.998391,21.545876,0,7.777778
73.002084,21.546593,0,8.611111
73.005316,21.547002,0,5
73.006804,21.547269,0,0
73.007036,21.547271,0,1.944444
73.007036,21.547271,0,1.944444
73.007302,21.547236,0,2.777778
73.007338,21.54692,0,4.444444
73.00696,21.542233,0,11.111111
73.006231,21.538042,0,11.666667
73.005716,21.533707,0,11.944444
73.005591,21.532622,0,0
73.005471,21.53156,0,11.666667
73.004969,21.527258,0,11.944444
73.004844,21.526178,0,11.666667
73.0046,21.524,0,11.944444
73.004347,21.521831,0,12.222222
73.004098,21.519651,0,11.944444
73.003836,21.517484,0,11.944444
73.003707,21.5164,0,11.666667
73.003333,21.513224,0,0
73.003213,21.512129,0,11.944444
73.003089,21.511049,0,11.944444
73.002556,21.506682,0,11.944444
73.002289,21.50452,0,12.222222
73.001747,21.500169,0,12.5
73.001182,21.495678,0,12.222222
73.000907,21.493429,0,0
73.000764,21.492282,0,12.5
73.0002,21.487862,0,12.5
72.999618,21.483247,0,12.222222
72.999031,21.478849,0,12.777778
72.9984,21.474044,0,13.611111
72.998213,21.472836,0,0
72.99804,21.471644,0,13.055556
72.996644,21.467144,0,12.777778
72.994476,21.464509,0,12.222222
72.991538,21.460862,0,12.777778
72.988427,21.457071,0,12.777778
72.986862,21.455189,0,0
72.986098,21.454256,0,13.055556
72.982764,21.450276,0,12.222222
72.979418,21.44622,0,13.333333
72.976449,21.442713,0,12.222222
72.973596,21.439289,0,0
72.973596,21.439289,0,11.944444
72.972862,21.43844,0,12.222222
72.969987,21.434993,0,12.222222
72.96924,21.434118,0,12.5
72.967764,21.430993,0,12.5
72.967111,21.42648,0,12.5
72.966493,21.421973,0,12.222222
72.966338,21.420858,0,0
72.966187,21.419738,0,12.5
72.96588,21.417484,0,11.944444
72.965729,21.416376,0,12.5
72.965089,21.411842,0,12.5
72.96456,21.407444,0,11.388889
72.964289,21.405262,0,12.5
72.963587,21.400851,0,0
72.963587,21.400851,0,11.944444
72.963227,21.39978,0,12.5
72.961831,21.395538,0,12.222222
72.960867,21.392376,0,11.944444
72.959387,21.387918,0,13.611111
72.958076,21.383993,0,11.111111
72.957618,21.381898,0,0
72.957596,21.38072,0,12.222222
72.957747,21.376402,0,12.5
72.957778,21.375269,0,12.222222
72.958489,21.370793,0,12.222222
72.958693,21.369682,0,12.222222
72.959396,21.365196,0,12.5
72.959876,21.361787,0,0
72.959982,21.360671,0,12.222222
72.959871,21.356189,0,12.222222
72.959844,21.355084,0,11.944444
72.959413,21.350736,0,12.5
72.959098,21.348476,0,12.222222
72.958649,21.345136,0,11.944444
72.958747,21.344033,0,12.222222
72.959382,21.341818,0,0
72.959693,21.340773,0,11.944444
72.960333,21.338518,0,13.055556
72.960969,21.336293,0,12.5
72.962196,21.331944,0,12.222222
72.962831,21.329816,0,11.944444
72.963724,21.325273,0,12.777778
72.963831,21.321793,0,0
72.963867,21.320598,0,13.055556
72.963898,21.319429,0,12.777778
72.963707,21.317216,0,11.944444
72.963227,21.316184,0,12.5
72.962484,21.315236,0,13.055556
72.958818,21.312278,0,11.388889
72.95716,21.310813,0,11.666667
72.955698,21.309298,0,11.111111
72.955253,21.308316,0,11.666667
72.954658,21.305349,0,0
72.954658,21.305349,0,10.277778
72.954489,21.304451,0,9.166667
72.95436,21.303838,0,0
72.954187,21.303136,0,2.777778
72.9536,21.299773,0,3.333333
72.953569,21.299676,0,0
72.953453,21.299289,0,3.611111
72.952818,21.296367,0,10.277778
72.951769,21.291476,0,12.222222
72.951516,21.287078,0,0
72.951516,21.287078,0,11.666667
72.951462,21.286069,0,11.111111
72.951209,21.281598,0,12.777778
72.952004,21.278213,0,13.333333
72.954964,21.274227,0,13.333333
72.956444,21.272371,0,11.666667
72.957511,21.270087,0,8.055556
72.957831,21.269351,0,0
72.958222,21.2685,0,10.833333
72.958693,21.267502,0,12.777778
72.960853,21.262789,0,11.944444
72.962729,21.25866,0,13.055556
72.963729,21.256451,0,13.055556
72.965729,21.252078,0,13.611111
72.966231,21.250949,0,13.333333
72.966738,21.249847,0,0
72.967222,21.248778,0,12.777778
72.967711,21.247716,0,12.5
72.968569,21.243271,0,12.5
72.968573,21.242144,0,12.222222
72.968596,21.238718,0,12.777778
72.968573,21.234178,0,12.222222
72.968498,21.229573,0,0
72.968498,21.229573,0,12.5
72.968484,21.228447,0,12.222222
72.968516,21.223973,0,12.222222
72.968489,21.219411,0,12.5
72.968484,21.218276,0,12.5
72.968293,21.214107,0,11.111111
72.96776,21.209784,0,0
72.96776,21.209784,0,12.777778
72.967569,21.208627,0,12.777778
72.966911,21.204144,0,12.222222
72.966284,21.199716,0,12.777778
72.965622,21.195211,0,12.222222
72.966476,21.190902,0,12.222222
72.966284,21.189796,0,0
72.966036,21.188709,0,12.222222
72.964964,21.184398,0,12.222222
72.963858,21.180049,0,11.944444
72.963662,21.178918,0,13.055556
72.963347,21.174398,0,12.5
72.962564,21.170176,0,0
72.962564,21.170176,0,12.222222
72.962356,21.169031,0,13.333333
72.962129,21.167838,0,12.777778
72.961418,21.16364,0,12.222222
72.961364,21.162496,0,12.5
72.961618,21.161382,0,12.222222
72.962142,21.160367,0,12.222222
72.963653,21.15776,0,8.888889
72.963836,21.156958,0,9.444444
72.964227,21.153138,0,10.555556
72.964333,21.15216,0,0
72.964449,21.151129,0,11.666667
72.96488,21.146789,0,12.5
72.965529,21.142382,0,12.5
72.967787,21.138427,0,12.777778
72.968573,21.135113,0,12.777778
72.969253,21.132907,0,0
72.96972,21.131847,0,12.777778
72.971596,21.127276,0,13.333333
72.973333,21.122824,0,12.777778
72.974671,21.119596,0,13.055556
72.976502,21.115073,0,12.5
72.976662,21.113949,0,12.222222
72.976564,21.112793,0,0
72.976502,21.11164,0,12.777778
72.976164,21.108256,0,12.222222
72.975724,21.10392,0,11.944444
72.976458,21.099107,0,10.555556
72.976822,21.095909,0,12.222222
72.977098,21.093589,0,0
72.97724,21.092384,0,13.333333
72.977378,21.091162,0,13.333333
72.977644,21.088822,0,12.5
72.978027,21.085862,0,10.833333
72.978707,21.080989,0,13.888889
72.979302,21.076938,0,9.444444
72.979836,21.074924,0,12.777778
72.980089,21.073958,0,0
72.980293,21.073447,0,2.777778
72.980729,21.073218,0,0
72.980729,21.073218,0,0
72.980302,21.064387,0,9.444444
72.979347,21.061442,0,12.777778
72.978716,21.059151,0,0
72.978409,21.058024,0,12.777778
72.977836,21.055831,0,12.5
72.977333,21.05124,0,11.944444
72.97676,21.046758,0,12.777778
72.976196,21.042116,0,12.222222
72.974769,21.039067,0,0
72.974004,21.038209,0,11.944444
72.971284,21.036082,0,11.944444
72.970369,21.035289,0,13.333333
72.969764,21.03416,0,14.166667
72.969756,21.032971,0,12.222222
72.970093,21.031993,0,10.555556
72.971476,21.028073,0,12.777778
72.97168,21.023664,0,12.222222
72.972129,21.021527,0,0
72.972129,21.021527,0,11.666667
72.97216,21.020464,0,11.388889
72.973169,21.016136,0,12.222222
72.9732,21.012813,0,12.222222
72.973373,21.008324,0,12.5
72.973151,21.003853,0,12.222222
72.972311,21.00176,0,0
72.971764,21.00076,0,12.5
72.969751,20.996527,0,13.055556
72.968422,20.991911,0,11.944444
72.967711,20.989236,0,10.555556
72.96672,20.98462,0,13.333333
72.966253,20.982293,0,0
72.966049,20.981144,0,12.777778
72.965089,20.976491,0,12.777778
72.964693,20.974167,0,12.777778
72.963942,20.969558,0,12.777778
72.963249,20.965142,0,12.5
72.962867,20.961764,0,0
72.962747,20.960722,0,11.666667
72.961382,20.956138,0,12.222222
72.960382,20.9529,0,12.5
72.959298,20.949136,0,7.5
72.959151,20.947656,0,10
72.95936,20.947213,0,10.833333
72.960267,20.946538,0,12.5
72.962524,20.945353,0,0
72.962524,20.945353,0,14.444444
72.963751,20.944642,0,14.722222
72.965942,20.943371,0,12.5
72.969911,20.941036,0,12.5
72.971658,20.939458,0,12.222222
72.974787,20.936542,0,7.5
72.976556,20.935016,0,6.944444
72.977067,20.934538,0,0
72.97764,20.93402,0,8.333333
72.978236,20.933427,0,2.777778
72.978098,20.933253,0,2.777778
72.978098,20.933253,0,2.777778
72.977622,20.933136,0,5.833333
72.976302,20.932311,0,9.166667
72.975511,20.931796,0,10
72.971733,20.92974,0,11.666667
72.967782,20.927678,0,11.388889
72.965813,20.926656,0,0
72.964804,20.926118,0,11.666667
72.961778,20.924562,0,11.944444
72.957778,20.922456,0,11.944444
72.953782,20.920451,0,10.277778
72.953293,20.920209,0,2.777778
72.952911,20.920164,0,5
72.951813,20.920484,0,4.166667
72.951973,20.920236,0,2.777778
72.952356,20.919902,0,0
72.952844,20.91944,0,7.222222
72.953978,20.918407,0,9.722222
72.957853,20.914884,0,11.111111
72.960382,20.911509,0,11.944444
72.960978,20.909404,0,11.666667
72.961724,20.908578,0,12.222222
72.962644,20.907811,0,0
72.962644,20.907811,0,11.944444
72.963524,20.907031,0,11.944444
72.965018,20.904329,0,10.833333
72.9672,20.900727,0,11.944444
72.96968,20.898351,0,0
72.970587,20.897622,0,11.944444
72.971427,20.896898,0,11.666667
72.971747,20.896196,0,12.222222
72.971907,20.895082,0,12.5
72.9722,20.893956,0,12.777778
72.972578,20.8929,0,11.666667
72.973551,20.888644,0,12.5
72.974373,20.884116,0,11.944444
72.975938,20.879949,0,12.222222
72.976409,20.87774,0,12.222222
72.976569,20.873262,0,12.222222
72.97756,20.869002,0,11.666667
72.976142,20.864811,0,11.666667
72.975791,20.862724,0,11.944444
72.976067,20.861667,0,11.388889
72.976676,20.861104,0,5.555556
72.976969,20.860884,0,5
72.977289,20.860747,0,6.111111
